Time(s),Gyro Heading(deg),Mag Heading(deg),Integrated Heading(deg)
0.000000,-1.542892,-1.542892,-1.542892
0.500000,-1.943963,-3.797893,-2.443963
1.000000,-2.173146,0.752456,-3.173146
1.500000,-2.860695,0.414898,-4.360695
2.000000,-3.771698,-0.556803,-5.771698
2.500000,-4.086825,0.516719,-6.586825
3.000000,-4.035259,0.316633,-7.035259
3.500000,-4.384763,1.111880,-7.884763
4.000000,-5.238470,-3.369980,-9.238470
4.500000,-5.507760,-0.477228,-10.007760
5.000000,-5.673918,-0.253417,-10.673918
5.500000,-6.109366,0.649744,-11.609366
6.000000,-6.814104,-1.791630,-12.814104
6.500000,-7.238093,2.774990,-13.738093
7.000000,-7.501653,-0.710191,-14.501653
7.500000,-7.805321,1.390454,-15.305321
8.000000,-7.908453,-2.335210,-15.908453
8.500000,-8.131907,-2.759250,-16.631907
9.000000,-8.429845,-1.740491,-17.429845
9.500000,-8.464222,7.057185,-17.964222
10.000000,-8.676217,3.352187,-18.676217
10.500000,-9.203338,1.428252,-19.703338
11.000000,-9.856510,1.503776,-20.856510
11.500000,-10.503952,-0.122234,-22.003952
12.000000,-11.059721,-0.158678,-23.059721
12.500000,-11.329011,0.403289,-23.829011
13.000000,-12.016561,-1.210807,-25.016561
13.500000,-12.635355,-1.904887,-26.135355
14.000000,-13.156747,-1.509883,-27.156747
14.500000,-13.592195,1.363517,-28.092195
15.000000,-13.953158,-3.074326,-28.953158
15.500000,-14.875620,-5.105257,-30.375620
16.000000,-15.614736,-2.660231,-31.614736
16.500000,-15.826730,-0.115557,-32.326730
17.000000,-15.717868,-1.703993,-32.717868
17.500000,-15.912674,-2.450731,-33.412674
18.000000,-16.273637,-1.736092,-34.273637
18.500000,-16.325203,-0.803179,-34.825203
19.000000,-16.176234,-1.495078,-35.176234
19.500000,-16.795029,2.582791,-36.295029
20.000000,-17.448201,0.993107,-37.448201
20.500000,-17.791975,-0.406492,-38.291975
21.000000,-18.513902,-1.361401,-39.513902
21.500000,-18.960809,3.940437,-40.460809
22.000000,-19.333232,-1.416992,-41.333232
22.500000,-20.032240,-2.367992,-42.532240
23.000000,-20.141102,1.739781,-43.141102
23.500000,-20.588009,1.193001,-44.088009
24.000000,-20.805733,-2.845885,-44.805733
24.500000,-21.464635,0.059443,-45.964635
25.000000,-22.255317,1.246173,-47.255317
25.500000,-22.839734,-0.478792,-48.339734
26.000000,-23.412691,-0.181028,-49.412691
26.500000,-23.974190,-4.061682,-50.474190
27.000000,-24.512770,-1.040935,-51.512770
27.500000,-25.171672,3.567833,-52.671672
28.000000,-25.727441,-0.586167,-53.727441
28.500000,-26.128511,0.518148,-54.628511
29.000000,-26.437908,-4.208093,-55.437908
29.500000,-26.283210,-2.534166,-55.783210
30.000000,-26.277480,-2.979599,-56.277480
30.500000,-26.987948,-1.073275,-57.487948
31.000000,-27.199942,1.588802,-58.199942
31.500000,-27.469233,-0.435642,-58.969233
32.000000,-27.434855,3.264413,-59.434855
32.500000,-28.363047,-1.201424,-60.863047
33.000000,-29.503233,-4.329778,-62.503233
33.500000,-29.331345,-1.927503,-62.831345
34.000000,-29.474585,1.031886,-63.474585
34.500000,-14.738110,15.857882,-49.238110
35.000000,-0.013095,28.988561,-35.013095
35.500000,14.815053,44.631796,-20.684947
36.000000,29.792170,61.281786,-6.207830
36.500000,44.299461,77.038573,7.799461
37.000000,58.577569,88.989855,21.577569
37.500000,72.540551,105.501101,35.040551
38.000000,86.606664,116.779181,48.606664
38.500000,101.148333,128.468027,62.648333
39.000000,115.260284,144.842699,76.260284
39.500000,130.386370,166.221427,90.886370
40.000000,145.478078,178.996127,105.478078
40.500000,145.214517,179.213580,104.714517
41.000000,144.761881,178.733611,103.761881
