Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
0.000000,51.509254,-0.161045,0.000000,-0.000000
0.500000,51.509254,-0.161045,0.033957,-0.001584
1.000000,51.509255,-0.161045,0.213959,-0.005211
1.500000,51.509256,-0.161045,0.402698,0.009276
2.000000,51.509259,-0.161045,0.644578,-0.007640
2.500000,51.509262,-0.161045,0.823740,0.004902
3.000000,51.509267,-0.161045,1.140334,0.009055
3.500000,51.509272,-0.161045,1.165066,0.018138
4.000000,51.509278,-0.161045,1.375351,-0.055875
4.500000,51.509283,-0.161045,1.185858,-0.033050
5.000000,51.509289,-0.161045,1.235354,0.009965
5.500000,51.509294,-0.161045,1.328171,0.000609
6.000000,51.509300,-0.161045,1.288167,-0.022528
6.500000,51.509306,-0.161045,1.323433,0.034865
7.000000,51.509312,-0.161045,1.129312,0.012640
7.500000,51.509317,-0.161045,1.351084,0.003866
8.000000,51.509323,-0.161045,1.220522,-0.020566
8.500000,51.509329,-0.161046,1.293995,-0.081177
9.000000,51.509334,-0.161046,1.208988,-0.026261
9.500000,51.509340,-0.161046,1.312498,0.118616
10.000000,51.509346,-0.161045,1.213305,0.111177
10.500000,51.509351,-0.161044,1.273538,0.010787
11.000000,51.509357,-0.161044,1.156352,0.044858
11.500000,51.509362,-0.161044,1.340681,-0.005477
12.000000,51.509368,-0.161044,1.178017,-0.001355
12.500000,51.509374,-0.161044,1.368357,0.005629
13.000000,51.509379,-0.161044,1.183885,-0.019034
13.500000,51.509385,-0.161044,1.329443,-0.045370
14.000000,51.509391,-0.161045,1.125464,-0.029529
14.500000,51.509396,-0.161045,1.302516,0.018000
15.000000,51.509401,-0.161045,1.109497,-0.042779
15.500000,51.509407,-0.161045,1.325654,-0.120373
16.000000,51.509413,-0.161046,1.183204,-0.059025
16.500000,51.509418,-0.161046,1.304106,-0.010345
17.000000,51.509424,-0.161046,1.152167,-0.025551
17.500000,51.509429,-0.161047,1.325536,-0.059450
18.000000,51.509435,-0.161047,1.238136,-0.037560
18.500000,51.509441,-0.161047,1.351186,-0.022863
19.000000,51.509446,-0.161047,1.170205,-0.026441
19.500000,51.509452,-0.161047,1.329898,0.038908
20.000000,51.509458,-0.161047,1.201328,0.039324
20.500000,51.509463,-0.161047,1.156396,-0.017302
21.000000,51.509469,-0.161047,1.323695,-0.020801
21.500000,51.509474,-0.161047,1.212579,0.062714
22.000000,51.509480,-0.161047,1.171494,0.000597
22.500000,51.509485,-0.161047,1.210276,-0.067504
23.000000,51.509491,-0.161047,1.242432,0.035797
23.500000,51.509496,-0.161047,1.169606,0.027146
24.000000,51.509501,-0.161047,1.262266,-0.049021
24.500000,51.509507,-0.161047,1.214619,-0.016716
25.000000,51.509513,-0.161047,1.300012,0.036201
25.500000,51.509518,-0.161047,1.265696,-0.010771
26.000000,51.509524,-0.161047,1.264470,-0.004843
26.500000,51.509530,-0.161047,1.169283,-0.072709
27.000000,51.509535,-0.161048,1.337613,-0.045176
27.500000,51.509541,-0.161048,1.220401,0.079190
28.000000,51.509547,-0.161047,1.319554,0.001143
28.500000,51.509552,-0.161047,1.243711,-0.002087
29.000000,51.509558,-0.161048,1.302424,-0.068537
29.500000,51.509564,-0.161048,1.217884,-0.077468
30.000000,51.509569,-0.161049,1.286986,-0.048798
30.500000,51.509575,-0.161049,1.332903,-0.044879
31.000000,51.509581,-0.161049,1.233861,0.041164
31.500000,51.509587,-0.161049,1.252360,-0.007520
32.000000,51.509592,-0.161049,1.246594,0.057688
32.500000,51.509598,-0.161048,1.173997,-0.003533
33.000000,51.509602,-0.161049,0.816181,-0.076652
33.500000,51.509605,-0.161049,0.718464,-0.016843
34.000000,51.509608,-0.161049,0.346765,0.005149
34.500000,51.509609,-0.161049,0.199155,0.062002
35.000000,51.509610,-0.161048,0.274299,0.127312
35.500000,51.509611,-0.161047,0.178801,0.188385
36.000000,51.509612,-0.161046,0.128169,0.203783
36.500000,51.509612,-0.161044,0.057056,0.242930
37.000000,51.509612,-0.161042,0.019695,0.316630
37.500000,51.509612,-0.161040,-0.063650,0.170562
38.000000,51.509612,-0.161038,-0.114081,0.290865
38.500000,51.509611,-0.161037,-0.152636,0.159603
39.000000,51.509610,-0.161036,-0.168488,0.148144
39.500000,51.509609,-0.161035,-0.239371,0.058894
40.000000,51.509608,-0.161035,-0.201031,0.006588
40.500000,51.509607,-0.161035,-0.377714,0.003489
41.000000,51.509605,-0.161035,-0.619450,0.013393
41.500000,51.509601,-0.161035,-0.786663,-0.061879
42.000000,51.509597,-0.161036,-1.092518,-0.086332
42.500000,51.509592,-0.161036,-1.237702,0.079007
43.000000,51.509586,-0.161035,-1.314528,0.066983
43.500000,51.509580,-0.161035,-1.219919,-0.042821
44.000000,51.509575,-0.161035,-1.286962,0.008768
44.500000,51.509569,-0.161035,-1.223563,-0.011287
45.000000,51.509564,-0.161035,-1.250200,0.026351
45.500000,51.509558,-0.161035,-1.223257,0.009443
46.000000,51.509552,-0.161035,-1.293590,-0.056482
46.500000,51.509547,-0.161035,-1.252812,0.027073
47.000000,51.509541,-0.161035,-1.220622,0.060761
47.500000,51.509536,-0.161034,-1.191852,0.049022
48.000000,51.509530,-0.161034,-1.272992,0.018407
48.500000,51.509524,-0.161034,-1.257856,-0.047893
49.000000,51.509519,-0.161035,-1.301909,-0.060660
49.500000,51.509513,-0.161035,-1.184201,0.088136
50.000000,51.509507,-0.161034,-1.299372,-0.039848
50.500000,51.509502,-0.161034,-1.186706,0.020943
51.000000,51.509496,-0.161034,-1.331749,0.129873
51.500000,51.509491,-0.161034,-1.163740,-0.016915
52.000000,51.509485,-0.161034,-1.189431,-0.060579
