Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
0.000000,51.509254,-0.161045,38.821112,-0.016004,0.047202,0.009420
0.500000,51.509255,-0.161045,38.825136,0.146987,-0.018785,-0.022476
1.000000,51.509255,-0.161045,38.824966,0.235158,0.013014,0.014250
1.500000,51.509257,-0.161045,38.804464,0.505821,-0.016087,0.033719
2.000000,51.509260,-0.161045,38.783451,0.760732,0.007502,0.046350
2.500000,51.509264,-0.161045,38.769783,0.982923,0.011283,-0.022287
3.000000,51.509269,-0.161045,38.780334,1.240430,0.013956,-0.031521
3.500000,51.509274,-0.161045,38.789478,1.236146,-0.019724,-0.013600
4.000000,51.509280,-0.161044,38.793293,1.242682,-0.007835,-0.058414
4.500000,51.509285,-0.161044,38.775897,1.251481,-0.002166,-0.029664
5.000000,51.509291,-0.161044,38.793266,1.237340,0.004198,-0.090395
5.500000,51.509297,-0.161044,38.819685,1.264183,-0.026377,-0.059365
6.000000,51.509302,-0.161044,38.820621,1.229279,0.036710,-0.060707
6.500000,51.509308,-0.161043,38.834143,1.236875,0.023161,-0.033310
7.000000,51.509313,-0.161043,38.847627,1.270611,-0.012482,-0.013310
7.500000,51.509319,-0.161043,38.882081,1.251526,0.014610,-0.042817
8.000000,51.509325,-0.161042,38.855927,1.235784,0.003331,-0.015126
8.500000,51.509330,-0.161042,38.863429,1.256548,-0.002456,-0.048079
9.000000,51.509336,-0.161042,38.846957,1.262133,0.017601,-0.041968
9.500000,51.509341,-0.161041,38.873796,1.266715,0.035063,-0.014280
10.000000,51.509347,-0.161041,38.841469,1.233639,0.038051,-0.001348
10.500000,51.509352,-0.161041,38.814464,1.246595,0.016132,0.012943
11.000000,51.509358,-0.161041,38.765372,1.273349,0.000347,-0.012384
11.500000,51.509363,-0.161041,38.753075,1.252378,0.034803,0.011234
12.000000,51.509369,-0.161041,38.721290,1.260536,-0.008995,0.001278
12.500000,51.509375,-0.161040,38.740040,1.238833,-0.017182,-0.007621
13.000000,51.509380,-0.161041,38.775527,1.239389,0.002422,-0.027618
13.500000,51.509385,-0.161041,38.779531,1.242770,0.011435,-0.020781
14.000000,51.509391,-0.161041,38.750969,1.269077,0.013464,-0.011051
14.500000,51.509396,-0.161041,38.765153,1.243088,-0.044371,0.005405
15.000000,51.509402,-0.161041,38.731605,1.253561,-0.032532,0.047464
15.500000,51.509407,-0.161040,38.688463,1.223929,-0.010483,-0.009090
16.000000,51.509412,-0.161041,38.605213,1.216367,-0.004242,0.011024
16.500000,51.509418,-0.161040,38.557674,1.239200,-0.011012,0.020428
17.000000,51.509423,-0.161040,38.567458,1.209402,-0.000029,0.022331
17.500000,51.509429,-0.161040,38.544757,1.235396,-0.002903,-0.054687
18.000000,51.509434,-0.161039,38.584584,1.249608,0.005866,-0.078388
18.500000,51.509440,-0.161038,38.594391,1.229764,-0.011081,0.001079
19.000000,51.509445,-0.161037,38.565271,1.243571,0.003310,-0.012569
19.500000,51.509451,-0.161037,38.532915,1.250999,0.014926,-0.051680
20.000000,51.509456,-0.161037,38.546128,1.257830,0.012039,-0.060725
20.500000,51.509461,-0.161036,38.552549,1.241682,0.008718,-0.029633
21.000000,51.509466,-0.161036,38.556056,1.226705,0.018785,-0.047755
21.500000,51.509472,-0.161035,38.560547,1.235396,0.008487,-0.054938
22.000000,51.509477,-0.161036,38.534974,1.259095,-0.027144,0.017156
22.500000,51.509483,-0.161037,38.452630,1.239930,-0.016406,0.018164
23.000000,51.509489,-0.161038,38.428782,1.256207,-0.021502,-0.024915
23.500000,51.509495,-0.161038,38.451552,1.205605,0.026469,-0.053933
24.000000,51.509500,-0.161037,38.494680,1.237826,0.008802,-0.019011
24.500000,51.509505,-0.161037,38.500247,1.232281,-0.008537,-0.045285
25.000000,51.509510,-0.161037,38.525681,1.250837,-0.007789,-0.051497
25.500000,51.509517,-0.161037,38.578706,1.254484,-0.042433,-0.037367
26.000000,51.509522,-0.161037,38.593216,1.271955,0.005461,-0.034257
26.500000,51.509527,-0.161037,38.527609,1.250823,-0.023872,0.000289
27.000000,51.509532,-0.161037,38.534357,1.209093,-0.008645,0.010323
27.500000,51.509538,-0.161037,38.480217,1.239316,-0.056686,0.011861
28.000000,51.509544,-0.161037,38.403480,1.252204,-0.030187,-0.028335
28.500000,51.509549,-0.161038,38.373785,1.240410,-0.036385,-0.014991
29.000000,51.509555,-0.161038,38.362588,1.247019,-0.045548,-0.031120
29.500000,51.509560,-0.161038,38.349513,1.241298,-0.026977,-0.037647
30.000000,51.509566,-0.161038,38.349681,1.251216,-0.005315,-0.064416
30.500000,51.509572,-0.161038,38.443938,1.251481,-0.015388,-0.058288
31.000000,51.509577,-0.161037,38.446218,1.256485,-0.013356,-0.040169
31.500000,51.509582,-0.161037,38.398970,1.232030,-0.000602,-0.009557
32.000000,51.509587,-0.161036,38.426707,1.234723,-0.019992,-0.020014
32.500000,51.509592,-0.161035,38.408425,0.992733,-0.019480,0.022227
33.000000,51.509596,-0.161037,38.429285,0.749224,-0.010562,0.040799
33.500000,51.509598,-0.161037,38.489091,0.508967,-0.024435,-0.014810
34.000000,51.509600,-0.161037,38.505579,0.234538,0.002153,-0.021347
34.500000,51.509601,-0.161036,38.535525,0.227220,0.068779,-0.007531
35.000000,51.509602,-0.161035,38.534121,0.253064,0.132399,-0.059310
35.500000,51.509603,-0.161034,38.540555,0.173062,0.177189,-0.007269
