Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
0.000000,51.509254,-0.161045,38.825817,-0.016005,0.047203,0.009416
0.500000,51.509232,-0.161035,37.447160,0.147059,-0.018489,-0.024279
1.000000,51.509250,-0.161062,33.668391,0.235240,0.012134,0.017032
1.500000,51.509266,-0.161035,37.124993,0.506030,-0.016860,0.036733
2.000000,51.509252,-0.161045,34.706546,0.760847,0.007389,0.044984
2.500000,51.509260,-0.161059,37.152601,0.982946,0.011757,-0.026281
3.000000,51.509249,-0.161009,37.962725,1.240607,0.014006,-0.031381
3.500000,51.509262,-0.161020,36.955038,1.236265,-0.020431,-0.009617
4.000000,51.509296,-0.161036,32.919132,1.242723,-0.008168,-0.060388
4.500000,51.509259,-0.161014,28.262006,1.251675,-0.003573,-0.025292
5.000000,51.509290,-0.161062,36.212396,1.237288,0.004308,-0.092551
5.500000,51.509308,-0.161040,31.701167,1.264303,-0.027474,-0.057244
6.000000,51.509267,-0.161033,31.170472,1.229275,0.036763,-0.063168
6.500000,51.509302,-0.161012,35.664501,1.236990,0.022624,-0.031353
7.000000,51.509326,-0.161030,38.439849,1.270672,-0.012714,-0.012847
7.500000,51.509310,-0.161008,41.061840,1.251539,0.015114,-0.043929
8.000000,51.509318,-0.161011,34.173693,1.235891,0.002745,-0.013648
8.500000,51.509334,-0.161025,37.738618,1.256580,-0.002371,-0.049374
9.000000,51.509322,-0.161043,33.443249,1.262154,0.017355,-0.042689
9.500000,51.509328,-0.161039,31.509785,1.266784,0.034347,-0.013199
10.000000,51.509350,-0.161072,31.193306,1.233668,0.036912,0.001157
10.500000,51.509354,-0.161054,37.566855,1.246591,0.015980,0.012933
11.000000,51.509345,-0.161049,29.418835,1.273388,-0.000119,-0.014156
11.500000,51.509356,-0.161033,35.892438,1.252455,0.034024,0.015027
12.000000,51.509360,-0.161038,35.644404,1.260550,-0.008991,-0.000129
12.500000,51.509381,-0.161027,36.270522,1.238898,-0.017709,-0.006000
13.000000,51.509376,-0.161056,37.981389,1.239322,0.002793,-0.030097
