Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
0.000000,-2.575949,-67.417551,995.509072,-0.106803,199.884558,0.148957
1.000000,-2.575950,-67.415754,995.363247,-0.106521,199.884562,0.142694
2.000000,-2.575951,-67.413956,995.223684,-0.106239,199.884567,0.136431
3.000000,-2.575952,-67.412159,995.090385,-0.105957,199.884571,0.130168
4.000000,-2.575953,-67.410362,994.963349,-0.105676,199.884575,0.123904
5.000000,-2.575954,-67.408565,994.842576,-0.105394,199.884579,0.117641
6.000000,-2.575955,-67.406768,994.728067,-0.105112,199.884583,0.111378
7.000000,-2.575956,-67.404971,994.619820,-0.104830,199.884587,0.105115
8.000000,-2.575956,-67.403174,994.517837,-0.104548,199.884590,0.098852
9.000000,-2.575957,-67.401377,994.422117,-0.104267,199.884593,0.092589
10.000000,-2.575958,-67.399579,994.332660,-0.103985,199.884596,0.086325
11.000000,-2.575959,-67.397782,994.249466,-0.103703,199.884599,0.080062
12.000000,-2.575960,-67.395985,994.172536,-0.103421,199.884601,0.073799
13.000000,-2.575961,-67.394188,994.101868,-0.103140,199.884604,0.067536
14.000000,-2.575962,-67.392391,994.037464,-0.102858,199.884606,0.061273
15.000000,-2.575963,-67.390594,993.979323,-0.102576,199.884608,0.055009
16.000000,-2.575964,-67.388797,993.927445,-0.102294,199.884610,0.048746
17.000000,-2.575965,-67.387000,993.881830,-0.102012,199.884611,0.042483
18.000000,-2.575966,-67.385203,993.842479,-0.101731,199.884613,0.036220
19.000000,-2.575967,-67.383405,993.809390,-0.101449,199.884614,0.029957
20.000000,-2.575968,-67.381608,993.782565,-0.101167,199.884615,0.023694
21.000000,-2.575969,-67.379811,993.762003,-0.100885,199.884616,0.017430
22.000000,-2.575969,-67.378014,993.747704,-0.100604,199.884616,0.011167
23.000000,-2.575970,-67.376217,993.739668,-0.100322,199.884616,0.004904
24.000000,-2.575971,-67.374420,993.737896,-0.100040,199.884617,-0.001359
25.000000,-2.575972,-67.372623,993.742386,-0.099758,199.884617,-0.007622
26.000000,-2.575973,-67.370826,993.753140,-0.099476,199.884616,-0.013885
27.000000,-2.575974,-67.369028,993.770157,-0.099195,199.884616,-0.020149
28.000000,-2.575975,-67.367231,993.793437,-0.098913,199.884616,-0.026412
29.000000,-2.575976,-67.365434,993.822981,-0.098631,199.884615,-0.032675
30.000000,-2.575977,-67.363637,993.858787,-0.098349,199.884614,-0.038938
31.000000,-2.575978,-67.361840,993.900857,-0.098068,199.884613,-0.045201
32.000000,-2.575978,-67.360043,993.949190,-0.097786,199.884611,-0.051464
33.000000,-2.575979,-67.358246,994.003786,-0.097504,199.884610,-0.057728
34.000000,-2.575980,-67.356449,994.064645,-0.097222,199.884608,-0.063991
35.000000,-2.575981,-67.354652,994.131767,-0.096940,199.884606,-0.070254
36.000000,-2.575982,-67.352854,994.205153,-0.096659,199.884604,-0.076517
37.000000,-2.575983,-67.351057,994.284802,-0.096377,199.884601,-0.082780
38.000000,-2.575984,-67.349260,994.370714,-0.096095,199.884599,-0.089043
39.000000,-2.575985,-67.347463,994.462889,-0.095813,199.884596,-0.095307
40.000000,-2.575985,-67.345666,994.561327,-0.095532,199.884593,-0.101570
41.000000,-2.575986,-67.343869,994.666028,-0.095250,199.884590,-0.107833
42.000000,-2.575987,-67.342072,994.776993,-0.094968,199.884587,-0.114096
43.000000,-2.575988,-67.340275,994.894221,-0.094686,199.884583,-0.120359
44.000000,-2.575989,-67.338477,995.017711,-0.094404,199.884579,-0.126622
45.000000,-2.575990,-67.336680,995.147466,-0.094123,199.884575,-0.132886
46.000000,-2.575991,-67.334883,995.283483,-0.093841,199.884571,-0.139149
47.000000,-2.575991,-67.333086,995.425763,-0.093559,199.884567,-0.145412
48.000000,-2.575992,-67.331289,995.574307,-0.093277,199.884562,-0.151675
49.000000,-2.575993,-67.329492,995.729114,-0.092996,199.884558,-0.157938
50.000000,-2.575994,-67.327695,995.890183,-0.092714,199.884553,-0.164202
51.000000,-2.575995,-67.325898,996.057517,-0.092432,199.884548,-0.170465
52.000000,-2.575996,-67.324101,996.231113,-0.092150,199.884542,-0.176728
53.000000,-2.575996,-67.322303,996.410972,-0.091868,199.884537,-0.182991
54.000000,-2.575997,-67.320506,996.597095,-0.091587,199.884531,-0.189254
55.000000,-2.575998,-67.318709,996.789481,-0.091305,199.884525,-0.195517
56.000000,-2.575999,-67.316912,996.988129,-0.091023,199.884519,-0.201780
57.000000,-2.576000,-67.315115,997.193042,-0.090741,199.884513,-0.208044
58.000000,-2.576001,-67.313318,997.404217,-0.090459,199.884506,-0.214307
