Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
0.000000,50.424958,-3.595797,-0.304592,10.215460
0.500000,50.424956,-3.595726,-0.442671,10.210244
1.000000,50.424956,-3.595654,0.162487,10.214168
1.500000,50.424957,-3.595582,0.152507,10.118498
2.000000,50.424956,-3.595510,-0.249646,10.255536
2.500000,50.424955,-3.595439,-0.213907,10.156641
3.000000,50.424955,-3.595367,0.079037,10.191955
3.500000,50.424954,-3.595295,-0.338603,10.193041
4.000000,50.424953,-3.595224,-0.300268,10.091185
4.500000,50.424953,-3.595152,0.124805,10.241577
5.000000,50.424954,-3.595081,0.469487,10.085858
5.500000,50.424956,-3.595010,0.551548,10.222271
6.000000,50.424957,-3.594939,-0.185075,9.972877
6.500000,50.424955,-3.594867,-0.494875,10.207922
7.000000,50.424955,-3.594796,0.067829,10.075751
7.500000,50.424957,-3.594725,0.817460,10.259901
8.000000,50.424959,-3.594653,0.342656,10.197612
8.500000,50.424960,-3.594581,0.060676,10.061669
9.000000,50.424960,-3.594510,-0.019171,10.160712
9.500000,50.424959,-3.594439,-0.453365,10.045750
10.000000,50.424958,-3.594367,0.122844,10.326227
10.500000,50.424958,-3.594295,-0.287549,10.367447
11.000000,50.424957,-3.594219,-0.290994,10.954089
11.500000,50.424956,-3.594140,0.122173,11.439878
12.000000,50.424957,-3.594058,0.067195,11.879278
12.500000,50.424957,-3.593971,0.029678,12.590608
13.000000,50.424956,-3.593882,-0.294217,12.774768
13.500000,50.424955,-3.593789,-0.304830,13.524048
14.000000,50.424952,-3.593692,-0.791697,13.970977
14.500000,50.424951,-3.593591,0.256644,14.476939
15.000000,50.424952,-3.593488,0.078108,14.919816
15.500000,50.424951,-3.593380,-0.645952,15.589418
16.000000,50.424950,-3.593269,0.261773,15.898013
16.500000,50.424952,-3.593154,0.476902,16.675482
17.000000,50.424952,-3.593035,-0.265964,17.119833
17.500000,50.424951,-3.592913,-0.184804,17.457528
18.000000,50.424951,-3.592788,0.229355,18.071469
18.500000,50.424953,-3.592658,0.355127,18.591684
19.000000,50.424952,-3.592526,-0.541409,19.034729
19.500000,50.424950,-3.592389,-0.420559,19.677631
20.000000,50.424949,-3.592250,0.070783,19.918389
20.500000,50.424947,-3.592107,-0.693546,20.521748
21.000000,50.424946,-3.591964,-0.209037,20.269226
21.500000,50.424949,-3.591820,1.328686,20.446459
22.000000,50.424952,-3.591677,0.349271,20.322491
22.500000,50.424954,-3.591534,0.434821,20.374096
23.000000,50.424958,-3.591391,1.376839,20.239010
23.500000,50.424962,-3.591247,0.410872,20.512293
24.000000,50.424962,-3.591104,-0.283612,20.281020
24.500000,50.424961,-3.590961,-0.315513,20.309157
25.000000,50.424964,-3.590818,1.363767,20.411600
25.500000,50.424966,-3.590674,-0.047057,20.437539
26.000000,50.424963,-3.590531,-1.084236,20.286626
26.500000,50.424960,-3.590387,-0.518454,20.489660
27.000000,50.424957,-3.590243,-0.791355,20.454097
27.500000,50.424955,-3.590100,0.092554,20.352459
28.000000,50.424955,-3.589957,-0.165905,20.397688
28.500000,50.424956,-3.589814,0.256705,20.226849
29.000000,50.424956,-3.589670,-0.048722,20.550280
29.500000,50.424955,-3.589526,-0.439163,20.359565
30.000000,50.424950,-3.589383,-1.292994,20.339964
30.500000,50.424949,-3.589241,0.409752,20.097225
31.000000,50.424949,-3.589101,-0.168252,19.692747
31.500000,50.424947,-3.588965,-0.888875,19.041535
32.000000,50.424945,-3.588833,-0.124711,18.723970
32.500000,50.424945,-3.588704,0.144483,18.091943
33.000000,50.424946,-3.588579,0.362187,17.520412
33.500000,50.424945,-3.588457,-0.508191,17.177571
34.000000,50.424943,-3.588338,-0.591485,16.686434
34.500000,50.424939,-3.588224,-1.127004,15.883787
35.000000,50.424937,-3.588112,0.211950,15.814101
35.500000,50.424936,-3.588005,-0.647567,14.847382
36.000000,50.424932,-3.587901,-0.993374,14.827358
36.500000,50.424930,-3.587800,-0.242399,13.875018
37.000000,50.424929,-3.587703,0.073630,13.709881
37.500000,50.424929,-3.587610,-0.265698,13.074379
