Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
0.000000,50.424958,-3.595797,-0.048954,10.032642
0.500000,50.424948,-3.595737,0.009290,10.007659
1.000000,50.424943,-3.595669,0.002355,9.995285
1.500000,50.424941,-3.595599,-0.030486,10.017828
2.000000,50.424939,-3.595528,-0.021102,10.011803
2.500000,50.424939,-3.595458,-0.001533,10.025238
3.000000,50.424939,-3.595388,-0.014190,10.011274
3.500000,50.424938,-3.595318,-0.013210,10.012648
4.000000,50.424938,-3.595249,-0.006769,10.003841
4.500000,50.424938,-3.595178,0.021095,10.000891
5.000000,50.424938,-3.595109,-0.007147,10.006331
5.500000,50.424938,-3.595039,0.015062,9.992245
6.000000,50.424938,-3.594969,0.006295,9.998566
6.500000,50.424938,-3.594898,0.004086,9.999568
7.000000,50.424939,-3.594829,0.005041,9.997944
7.500000,50.424938,-3.594759,-0.007883,9.974720
8.000000,50.424938,-3.594689,-0.023563,9.979046
8.500000,50.424937,-3.594618,-0.066807,9.990760
9.000000,50.424937,-3.594548,-0.041358,9.977971
9.500000,50.424937,-3.594478,-0.025349,10.018910
10.000000,50.424936,-3.594407,-0.035127,9.999803
10.500000,50.424937,-3.594336,0.013010,10.491393
11.000000,50.424937,-3.594260,-0.014983,10.986228
11.500000,50.424936,-3.594181,0.016301,11.488358
12.000000,50.424937,-3.594099,-0.004880,11.969776
12.500000,50.424937,-3.594012,0.005076,12.514352
13.000000,50.424937,-3.593923,0.021830,12.993134
13.500000,50.424937,-3.593829,0.019516,13.500604
14.000000,50.424937,-3.593732,-0.003001,13.987833
14.500000,50.424937,-3.593631,0.044228,14.502704
15.000000,50.424938,-3.593528,0.043450,14.996753
15.500000,50.424938,-3.593420,-0.031635,15.510959
16.000000,50.424938,-3.593309,0.006772,16.011220
16.500000,50.424938,-3.593195,-0.008426,16.503309
17.000000,50.424938,-3.593077,0.014490,16.993322
17.500000,50.424938,-3.592956,0.015987,17.487879
18.000000,50.424938,-3.592831,0.032286,17.995640
18.500000,50.424938,-3.592702,-0.010222,18.507214
19.000000,50.424938,-3.592570,-0.014670,19.002995
19.500000,50.424938,-3.592434,-0.009308,19.509787
20.000000,50.424938,-3.592295,0.019555,20.010559
20.500000,50.424937,-3.592154,-0.004861,20.015407
21.000000,50.424938,-3.592014,0.011850,20.001176
21.500000,50.424939,-3.591873,0.017803,19.978283
22.000000,50.424938,-3.591732,0.036367,19.996417
22.500000,50.424938,-3.591592,0.014116,19.997489
23.000000,50.424938,-3.591451,0.038084,20.000122
23.500000,50.424938,-3.591310,-0.013695,20.000474
24.000000,50.424938,-3.591170,-0.008295,19.979565
24.500000,50.424938,-3.591029,-0.022369,20.008944
25.000000,50.424939,-3.590888,-0.005893,20.019560
25.500000,50.424938,-3.590747,-0.022503,20.005421
26.000000,50.424937,-3.590607,-0.001046,20.014492
26.500000,50.424938,-3.590466,0.013090,19.991333
27.000000,50.424938,-3.590325,0.001074,19.997529
27.500000,50.424937,-3.590185,0.055962,19.994877
28.000000,50.424937,-3.590045,0.001141,19.982713
28.500000,50.424938,-3.589904,-0.018014,19.992554
29.000000,50.424938,-3.589763,0.029707,19.998941
29.500000,50.424938,-3.589622,0.002721,20.000412
30.000000,50.424937,-3.589481,-0.029942,20.008109
30.500000,50.424937,-3.589343,0.006879,19.493991
31.000000,50.424937,-3.589207,-0.019352,19.016607
31.500000,50.424937,-3.589075,0.007846,18.504084
32.000000,50.424937,-3.588948,0.043112,17.992360
32.500000,50.424937,-3.588823,0.014129,17.510062
33.000000,50.424937,-3.588702,-0.019040,17.007685
33.500000,50.424937,-3.588584,0.008655,16.506723
34.000000,50.424937,-3.588470,-0.006658,16.007383
34.500000,50.424937,-3.588360,-0.016905,15.518931
35.000000,50.424937,-3.588252,0.012224,14.985366
35.500000,50.424937,-3.588149,-0.042650,14.500454
36.000000,50.424936,-3.588049,0.035134,14.004103
36.500000,50.424937,-3.587952,0.017406,13.494078
37.000000,50.424936,-3.587859,0.005542,13.007523
37.500000,50.424937,-3.587770,0.000362,12.510926
38.000000,50.424937,-3.587684,-0.000181,12.012647
38.500000,50.424936,-3.587602,0.005871,11.477522
39.000000,50.424937,-3.587523,-0.014588,10.978476
39.500000,50.424936,-3.587448,-0.006496,10.488461
40.000000,50.424936,-3.587376,-0.002852,10.004949
40.500000,50.424925,-3.587310,-4.373215,8.966309
41.000000,50.424895,-3.587260,-8.129846,5.774631
41.500000,50.424854,-3.587238,-9.970115,1.205162
42.000000,50.424809,-3.587234,-10.326636,0.011469
42.500000,50.424761,-3.587234,-10.835292,0.001164
43.000000,50.424711,-3.587235,-11.338690,-0.021443
43.500000,50.424659,-3.587235,-11.811394,0.001628
44.000000,50.424604,-3.587234,-12.323858,0.019832
44.500000,50.424547,-3.587234,-12.878684,-0.013287
45.000000,50.424488,-3.587234,-13.367436,0.002795
45.500000,50.424427,-3.587233,-13.833381,0.000687
46.000000,50.424363,-3.587233,-14.349943,-0.017256
46.500000,50.424298,-3.587234,-14.836569,-0.013119
47.000000,50.424230,-3.587234,-15.336022,0.001785
47.500000,50.424160,-3.587233,-15.828266,-0.009560
48.000000,50.424087,-3.587234,-16.350857,-0.002592
48.500000,50.424012,-3.587234,-16.885976,0.011874
49.000000,50.423936,-3.587234,-17.319104,0.016875
49.500000,50.423856,-3.587233,-17.824150,-0.007430
50.000000,50.423775,-3.587233,-18.310121,-0.000581
50.500000,50.423691,-3.587233,-18.869819,0.000609
51.000000,50.423605,-3.587232,-19.388589,0.000846
51.500000,50.423517,-3.587232,-19.864379,-0.005621
52.000000,50.423427,-3.587232,-19.953518,-0.011978
52.500000,50.423338,-3.587232,-19.996871,-0.007190
53.000000,50.423247,-3.587234,-20.003851,-0.015243
53.500000,50.423158,-3.587234,-20.003349,-0.000986
54.000000,50.423068,-3.587233,-20.011036,0.001790
54.500000,50.422978,-3.587233,-19.976106,-0.013476
55.000000,50.422889,-3.587233,-19.985070,-0.002602
55.500000,50.422799,-3.587233,-19.998038,0.000380
56.000000,50.422708,-3.587232,-20.014782,-0.009127
56.500000,50.422619,-3.587232,-20.019789,-0.004266
57.000000,50.422529,-3.587233,-19.987518,0.001055
57.500000,50.422440,-3.587232,-20.040158,0.005828
