Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
0.000000,50.424958,-3.595797,-0.048954,10.032642
0.500000,50.424948,-3.595737,0.008642,10.008123
1.000000,50.424943,-3.595669,-0.000692,9.996650
1.500000,50.424941,-3.595599,-0.029397,10.019301
2.000000,50.424939,-3.595528,-0.019870,10.012478
2.500000,50.424939,-3.595458,-0.003078,10.026881
3.000000,50.424939,-3.595388,-0.015618,10.012156
3.500000,50.424938,-3.595318,-0.012577,10.013865
4.000000,50.424938,-3.595248,-0.008966,10.005054
4.500000,50.424938,-3.595178,0.019122,10.001477
5.000000,50.424938,-3.595108,-0.006442,10.007953
5.500000,50.424938,-3.595038,0.018276,9.992777
6.000000,50.424938,-3.594968,0.009905,10.000116
6.500000,50.424938,-3.594898,0.002785,9.999390
7.000000,50.424938,-3.594828,0.001678,9.999350
7.500000,50.424938,-3.594757,-0.007450,9.975241
8.000000,50.424938,-3.594687,-0.017997,9.980968
8.500000,50.424938,-3.594617,-0.064353,9.992229
9.000000,50.424938,-3.594547,-0.040505,9.978445
9.500000,50.424937,-3.594476,-0.025202,10.020141
10.000000,50.424937,-3.594406,-0.038016,9.999980
10.500000,50.424937,-3.594334,0.014084,10.493594
11.000000,50.424937,-3.594258,-0.017013,10.985385
11.500000,50.424937,-3.594179,0.014445,11.488143
12.000000,50.424937,-3.594097,-0.004160,11.969449
12.500000,50.424937,-3.594011,0.005561,12.513742
13.000000,50.424937,-3.593921,0.021994,12.993650
13.500000,50.424937,-3.593828,0.017383,13.499129
14.000000,50.424937,-3.593731,-0.005183,13.987995
14.500000,50.424937,-3.593631,0.038914,14.502590
15.000000,50.424937,-3.593527,0.044898,14.996579
15.500000,50.424937,-3.593420,-0.031405,15.510441
16.000000,50.424937,-3.593309,0.002628,16.011750
16.500000,50.424937,-3.593194,-0.006693,16.502543
17.000000,50.424937,-3.593076,0.017759,16.994485
17.500000,50.424937,-3.592955,0.014086,17.488729
18.000000,50.424937,-3.592830,0.030937,17.995432
18.500000,50.424938,-3.592701,-0.008888,18.507726
19.000000,50.424937,-3.592569,-0.012209,19.003563
19.500000,50.424937,-3.592433,-0.012868,19.509999
